run,key,regime,user,controller,feature_kind,method,M,L,proposal_std,episodes,task_success_count,successful_target_count,target_rate,fallback_count,mean_valid_current_fraction,batch_replan_seconds
mode-aligned-ablation-M128-std1,centered__lower_narrow_direction__best__m128,centered,lower_narrow_direction,oracle,mode,best,128,4,1.0,16,16,16,1.0,0,1.0,14.266569564992096
mode-aligned-ablation-M128-std1,centered__lower_narrow_width__soft__m128,centered,lower_narrow_width,oracle,mode,soft,128,4,1.0,16,16,16,1.0,0,1.0,14.1609279649565
mode-aligned-ablation-M128-std1,centered__lower_narrow_width__best__m128,centered,lower_narrow_width,oracle,mode,best,128,4,1.0,16,16,16,1.0,0,1.0,15.426139070943464
mode-aligned-ablation-M128-std1,centered__lower_wide_direction__soft__m128,centered,lower_wide_direction,oracle,mode,soft,128,4,1.0,16,16,0,0.0,0,1.0,13.580665756948292
mode-aligned-ablation-M128-std1,centered__lower_wide_direction__best__m128,centered,lower_wide_direction,oracle,mode,best,128,4,1.0,16,16,0,0.0,0,1.0,13.59378162806388
mode-aligned-ablation-M128-std1,centered__lower_wide_width__soft__m128,centered,lower_wide_width,oracle,mode,soft,128,4,1.0,16,16,0,0.0,0,1.0,13.653391860949341
mode-aligned-ablation-M128-std1,centered__lower_wide_width__best__m128,centered,lower_wide_width,oracle,mode,best,128,4,1.0,16,16,0,0.0,0,1.0,13.640433060994837
mode-aligned-ablation-M128-std1,gaussian__upper_narrow_direction__soft__m128,gaussian,upper_narrow_direction,oracle,mode,soft,128,4,1.0,16,16,2,0.125,0,1.0,13.61518344306387
mode-aligned-ablation-M128-std1,gaussian__upper_narrow_direction__best__m128,gaussian,upper_narrow_direction,oracle,mode,best,128,4,1.0,16,16,3,0.1875,0,1.0,13.647094699030276
mode-aligned-ablation-M128-std1,gaussian__upper_narrow_width__soft__m128,gaussian,upper_narrow_width,oracle,mode,soft,128,4,1.0,16,16,3,0.1875,0,1.0,13.706579311925452
mode-aligned-ablation-M128-std1,gaussian__upper_narrow_width__best__m128,gaussian,upper_narrow_width,oracle,mode,best,128,4,1.0,16,16,3,0.1875,0,1.0,13.756973754090723
mode-aligned-ablation-M128-std1,gaussian__upper_wide_direction__soft__m128,gaussian,upper_wide_direction,oracle,mode,soft,128,4,1.0,16,16,6,0.375,0,1.0,13.670478347048629
mode-aligned-ablation-M128-std1,gaussian__upper_wide_direction__best__m128,gaussian,upper_wide_direction,oracle,mode,best,128,4,1.0,16,16,6,0.375,0,1.0,13.619880848098546
mode-aligned-ablation-M128-std1,gaussian__upper_wide_width__soft__m128,gaussian,upper_wide_width,oracle,mode,soft,128,4,1.0,16,16,6,0.375,0,1.0,13.738109245023225
mode-aligned-ablation-M128-std1,gaussian__upper_wide_width__best__m128,gaussian,upper_wide_width,oracle,mode,best,128,4,1.0,16,16,6,0.375,0,1.0,13.739055180980358
mode-aligned-ablation-M128-std1,gaussian__lower_narrow_direction__soft__m128,gaussian,lower_narrow_direction,oracle,mode,soft,128,4,1.0,16,16,2,0.125,0,1.0,13.666949971055146
